Sentence,Words,Entity
Sentence: 1,How,O
,many,O
,movies,B-E
,are,O
,there,O
,whose,O
,director,B-E
,is,O
,Stanley,B-E
,Kubrick,I-E
,?,O
Sentence: 2,What,O
,city's,B-E
,founded,B-E
,by,I-E
,is,O
,John,B-E
,Forbes,I-E
,(British,I-E
,Army,I-E
,officer),I-E
Sentence: 3,What,O
,is,O
,the,O
,river,B-E
,whose,O
,river,B-E
,mouth,I-E
,is,O
,Dead,B-E
,Sea,I-E
,?,O
Sentence: 4,What,O
,is,O
,the,O
,allegiance,B-E
,of,O
,John,O
,Kotelawala,O
,?,O
Sentence: 5,What,O
,is,O
,the,O
,total,O
,number,O
,of,O
,race,B-E
,of,O
,the,O
,race,B-E
,horses,I-E
,whose,O
,breeder,B-E
,is,O
,Jacques,B-E
,Van't,I-E
,Hart,I-E
,?,O
Sentence: 6,What,O
,is,O
,the,O
,incumbent,B-E
,of,O
,the,O
,Al,B-E
,Gore,I-E
,presidential,I-E
,campaign,I-E
,2000,I-E
,and,O
,president,B-E
,of,O
,the,O
,Ann,B-E
,Lewis,I-E
Sentence: 7,What,O
,is,O
,the,O
,region,B-E
,of,O
,Tom,O
,Perriello,O
,?,O
Sentence: 8,What,O
,is,O
,the,O
,layout,B-E
,of,O
,the,O
,automobiles,B-E
,whose,O
,related,B-E
,is,O
,Subaru,B-E
,Outback,I-E
,?,O
Sentence: 9,What,O
,is,O
,the,O
,address,B-E
,of,O
,the,O
,hotels,B-E
,whose,O
,operator,B-E
,is,O
,Starwood,B-E
,Hotels,I-E
,and,I-E
,Resorts,I-E
,Worldwide,I-E
,?,O
Sentence: 10,What,O
,is,O
,the,O
,mascot,B-E
,of,O
,Austin,O
,College,O
,?,O
Sentence: 11,What,O
,is,O
,the,O
,university,B-E
,of,O
,the,O
,rugby,B-E
,player,I-E
,who,O
,is,O
,the,O
,headcoach,B-E
,of,O
,190617,B-E
,Stanford,I-E
,rugby,I-E
,teams,I-E
,?,O
Sentence: 12,Give,O
,me,O
,a,O
,count,O
,of,O
,people,B-E
,whose,O
,official,B-E
,residence,I-E
,is,O
,Wilton,B-E
,Connecticut,I-E
,?,O
Sentence: 13,What,O
,is,O
,the,O
,honors,B-E
,of,O
,the,O
,person,B-E
,who,O
,is,O
,the,O
,film,B-E
,director,I-E
,of,O
,The,B-E
,Haunted,I-E
,House,I-E
,(1929,I-E
,film),I-E
,?,O
